Scenario,Year,Access_Forecast,Usage_Forecast,Lower_CI,Upper_CI
Optimistic,2023,48.72,22.4,47.22,50.22
Optimistic,2024,51.34,24.4,48.34,54.34
Optimistic,2025,53.96,26.4,49.46,58.46
Optimistic,2026,56.58,28.4,50.58,62.58
Optimistic,2027,59.2,30.4,51.7,66.7
Base,2023,48.65,22.35,47.15,50.15
Base,2024,51.21,24.29,48.21,54.21
Base,2025,53.76,26.24,49.26,58.26
Base,2026,56.31,28.19,50.31,62.31
Base,2027,58.87,30.13,51.37,66.37
Pessimistic,2023,48.55,22.27,47.05,50.05
Pessimistic,2024,51.01,24.13,48.01,54.01
Pessimistic,2025,53.46,26.0,48.96,57.96
Pessimistic,2026,55.91,27.87,49.91,61.91
Pessimistic,2027,58.37,29.73,50.87,65.87
